id;valence;doc_type;content_type;title;topic;region;tags;body;steps;source
m_iliopsoas;learn;entry;muscle;M. Iliopsoas;Movement System;Lower_Extremity;"kas; kalça; güçlü; fleksör";Leğen kemiği ve bel omurlarından başlayıp femurun üst bölümünde sonlanır.;"[""Uyluğun en güçlü fleksör kasıdır.""]";Ders kitabı s.81
m_gluteus_maximus;learn;entry;muscle;M. Gluteus Maximus;Movement System;Lower_Extremity;"kas; kalça; büyük kalça; kalın; ekstansör; ekstansiyon; dış rotasyon";Vücudun en kalın kasıdır. İliumun dış yüzü ve sakrumdan başlayıp femurda sonlanır. İliopsoas kasının antagonistidir.;"[""Uyluğun en güçlü ekstansör kasıdır."" , ""Uyluğa ekstansiyon ve dışa rotasyon yaptırır.""]";Ders kitabı s.81
m_gluteus_medius;learn;entry;muscle;M. Gluteus Medius;Movement System;Lower_Extremity;"kas; kalça; orta kalça; abdüktör";Büyük kalça kasının altında yar alır. Leğen kemiğinden başlayıp femurda sonlanır.;"[""Uyluğun en güçlü abdüktör kasıdır.""]";Ders kitabı s.81
m_gluteus_minimus;learn;entry;muscle;M. Gluteus Minimus;Movement System;Lower_Extremity;"kas; kalça; küçük kalça; abdüksiyon";En altta yer alan kalça kasıdır. Leğen kemiğinden başlayıp femurda sonlanır.;"[""Uyluğa abdüksiyon yaptırır.""]";Ders kitabı s.82
m_sartorius;learn;entry;muscle;M. Sartorius;Movement System;Lower_Extremity;"kas; uyluk; terzi; uzun; fleksiyon; abdüksiyon; iç rotasyon";Vücudun en uzun kasıdır. Leğen kemiğinden başlayıp ön iç yanından geçerek tibia kemiğinin üst ucunda sonlanır.;"[""Uyluğa fleksiyon ve abdüksiyon yaptırır."" , ""Diz yarım fleksiyondayken baldıra iç rotasyon yaptırır.""]";Ders kitabı s.82
m_quadriceps_femoris;learn;entry;muscle;M. Quadriceps Femoris;Movement System;Lower_Extremity;"kas; uyluk; dört başlı; ekstansiyon";Uyluğun ön bölgesindeki dört kasın (m. rectus femoris, m. vastus lateralis, m. vastus medialis, m. vastus intermedius) birleşmesinden oluşur. Dört baştan biri leğen kemiği diğer üçü femurdan başlar. Aşağı doğru uçlar birleşerek tek bir tendon oluşturur. Tendon diz üzerinden geçer ve tibia kemiğinde sonlanır. Patella bu kasın tendonu içine yerleşmiştir.;"[""Diz eklemine ekstansiyon yaptırır.""]";Ders kitabı s.82
hamstring;learn;entry;muscle;Hamstring Grubu Kaslar;Movement System;Lower_Extremity;"kas; uyluk; arka adele; ekstansiyon; fleksiyon";Arka adele de denir. Üç kastan (m. biceps femoris, m. semitendinosus, m. semimembranosus) oluşur. Bu kaslar oturak kemiğinden başlayıp tibia ve fibula kemiğinde sonlanır. Sporcuların en çok sakatlandıkları kasların başında gelir.;"[""Kalçaya ekstansiyon ve dize fleksiyon yaptırır.""]";Ders kitabı s.82
m_tibialis_anterior;learn;entry;muscle;M. Tibialis Anterior;Movement System;Lower_Extremity;"kas; baldır; ön tibia; dorsifleksiyon; ekstansiyon; inversiyon";Tibia kemiğinin ön, dış ve yan tarafında bulunur. Tibia kemiğinin üst ucundan başlayıp birinci ayak tarak kemiğinde sonlanır.;"[""Ayağa dorsifleksiyon (ekstansiyon) ve inversiyon yaptırır.""]";Ders kitabı s.83
m_tibialis_posterior;learn;entry;muscle;M. Tibialis Posterior;Movement System;Lower_Extremity;"kas; baldır; arka tibia; plantar fleksiyon; inversiyon";Tibia ve fibula kemiğinin arkasında bulunur. Buradan başlayıp 2, 3 ve 4’üncü ayak tarak kemiğinde sonlanır.;"[""Ayağa plantar fleksiyon ve inversiyon yaptırır.""]";Ders kitabı s.83
m_triceps_surae;learn;entry;muscle;M. Triceps Surae;Movement System;Lower_Extremity;"kas; baldır; üç başlı; aşil tendonu; plantar fleksiyon";Baldırın arkasındaki kabarıklığı yapan kastır. Bu kas, m. gastrocnemius ve m. soleus kasının birleşmesinden oluşur. İki kas tibianın üst ucundan başlayıp aşil tendonunu oluşturduktan sonra topuk kemiğinde sonlanır.;"[""Ayağa plantar fleksiyon yaptırır.""]";Ders kitabı s.83
